original_path,archive_path,category,experiment_id,model,reason,date_archived
"outputs/verification/qwen/qwen_A5_20260711_1501","archive/failed_runs/outputs/verification/qwen/qwen_A5_20260711_1501","failed_runs","qwen_A5_20260711_1501","qwen","Immediate crash: create_adapter() multiple values for model_name; zero samples","2026-09-09T02:01:06Z"
"outputs/evaluation/qwen/qwen_A5_20260711_1501","archive/failed_runs/outputs/evaluation/qwen/qwen_A5_20260711_1501","failed_runs","qwen_A5_20260711_1501","qwen","Empty evaluation dir from failed A5 attempt","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260711_1501.out","archive/failed_runs/logs/slurm/qwen_ablation_20260711_1501.out","failed_runs","qwen_A5_20260711_1501","qwen","Slurm log of failed A5 attempt","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260711_1501.err","archive/failed_runs/logs/slurm/qwen_ablation_20260711_1501.err","failed_runs","qwen_A5_20260711_1501","qwen","Slurm err of failed A5 attempt","2026-09-09T02:01:06Z"
"outputs/verification/qwen/20260706_2130","archive/failed_runs/outputs/verification/qwen/20260706_2130","failed_runs","20260706_2130","qwen","Empty early failed ablation run","2026-09-09T02:01:06Z"
"outputs/evaluation/qwen/20260706_2130","archive/failed_runs/outputs/evaluation/qwen/20260706_2130","failed_runs","20260706_2130","qwen","Empty eval for early failed run","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2130.out","archive/failed_runs/logs/slurm/qwen_ablation_20260706_2130.out","failed_runs","20260706_2130","qwen","Slurm log early failed run","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2130.err","archive/failed_runs/logs/slurm/qwen_ablation_20260706_2130.err","failed_runs","20260706_2130","qwen","Slurm err early failed run","2026-09-09T02:01:06Z"
"outputs/verification/qwen/20260706_2145","archive/superseded_runs/outputs/verification/qwen/20260706_2145","superseded_runs","20260706_2145","qwen","Superseded 10-sample pilot; replaced by 20260706_2214 and 20260708_0020","2026-09-09T02:01:06Z"
"outputs/evaluation/qwen/20260706_2145","archive/superseded_runs/outputs/evaluation/qwen/20260706_2145","superseded_runs","20260706_2145","qwen","Eval for superseded 10-sample pilot","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2145.out","archive/superseded_runs/logs/slurm/qwen_ablation_20260706_2145.out","superseded_runs","20260706_2145","qwen","Slurm log superseded pilot","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2145.err","archive/superseded_runs/logs/slurm/qwen_ablation_20260706_2145.err","superseded_runs","20260706_2145","qwen","Slurm err superseded pilot","2026-09-09T02:01:06Z"
"outputs/verification/qwen/20260706_2158","archive/superseded_runs/outputs/verification/qwen/20260706_2158","superseded_runs","20260706_2158","qwen","Superseded 10-sample A1-A5 pilot; misleading eval CSV row counts","2026-09-09T02:01:06Z"
"outputs/evaluation/qwen/20260706_2158","archive/superseded_runs/outputs/evaluation/qwen/20260706_2158","superseded_runs","20260706_2158","qwen","Eval for superseded 10-sample pilot","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2158.out","archive/superseded_runs/logs/slurm/qwen_ablation_20260706_2158.out","superseded_runs","20260706_2158","qwen","Slurm log superseded pilot","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260706_2158.err","archive/superseded_runs/logs/slurm/qwen_ablation_20260706_2158.err","superseded_runs","20260706_2158","qwen","Slurm err superseded pilot","2026-09-09T02:01:06Z"
"outputs/verification/qwen/qwen_A5_20260711_1508","archive/superseded_runs/outputs/verification/qwen/qwen_A5_20260711_1508","superseded_runs","qwen_A5_20260711_1508","qwen","Superseded duplicate of 20260708_0020 A1-A4 (identical metrics) plus incomplete A5 (2513/5747 TIME LIMIT)","2026-09-09T02:01:06Z"
